sigla,pac_barramento,pac_adjacente,relacao,origem
CID,CEARA MIRIM 2,CEARA MIRIM 2,mesmo,regra
JCT,JOAO CAMARA 3,JOAO CAMARA 3,mesmo,regra
JCT,JOAO CAMARA 3,JOAO CAMARA 3 ICG,icg,regra
JCT,JOAO CAMARA 3,SECC. LT ACU 3 – JOAO CAMARA 3,seccionamento,regra
JCT,JOAO CAMARA 3,SECC. LT JOAO CAMARA 3 – MONTE VERDE,seccionamento,regra
TRS,TOUROS,TOUROS,mesmo,regra
TRS,TOUROS,TOUROS ICG,icg,regra
ACD,ACU 2,ACU 2,mesmo,regra
MVR,MONTE VERDE,MONTE VERDE,mesmo,regra
MVR,MONTE VERDE,SECC. LT JOAO CAMARA 3 – MONTE VERDE,seccionamento,regra
SLD,SANTA LUZIA 2,SANTA LUZIA 2,mesmo,regra
ULG,LUIZ GONZAGA,LUIZ GONZAGA,mesmo,regra
CNP,CURRAL NOVO DO PIAUI 2,CURRAL NOVO DO PIAUI 2,mesmo,regra
QND,QUEIMADA NOVA 2,QUEIMADA NOVA 2,mesmo,regra
QND,QUEIMADA NOVA 2,QUEIMADA NOVA,homonimo,regra
PBT,PARNAIBA 3,PARNAIBA 3,mesmo,regra
SJI,SAO JOAO DO PIAUI,SAO JOAO DO PIAUI,mesmo,regra
OUR,OUROLANDIA 2,OUROLANDIA 2,mesmo,regra
CRT,CORRENTINA,CORRENTINA,mesmo,regra
SDS,SOL DO SERTAO,SOL DO SERTAO,mesmo,regra
GDO,GENTIO DO OURO 2,GENTIO DO OURO 2,mesmo,regra
GDO,GENTIO DO OURO 2,SECC. LT BOM JESUS DA LAPA 2 – GENTIO DO OURO 2,seccionamento,regra
CAF-II,CAMPO FORMOSO 2,CAMPO FORMOSO 2,mesmo,regra
BDD,BRUMADO 2,BRUMADO 2,mesmo,regra
ICA,IBICOARA,IBICOARA,mesmo,regra
ITB,ITABAIANA,ITABAIANA,mesmo,regra
STBD,BANDEIRANTES,BANDEIRANTES,mesmo,regra
MCL2_IRAE,MONTES CLAROS 2,MONTES CLAROS 2,mesmo,regra
MCL2_IRAE,MONTES CLAROS 2,SECC. LD JANAUBA 3 – MONTES CLAROS 2,seccionamento,regra
SDA2,SERRA DAS ALMAS 2,SERRA DAS ALMAS 2,mesmo,regra
GET,GETULINA,GETULINA,mesmo,regra
LGO,LAGOS,LAGOS,mesmo,regra
ALE2,ALEGRETE 2,ALEGRETE 2,mesmo,regra
LIV3,LIVRAMENTO 3,LIVRAMENTO 3,mesmo,regra
SPA2,SANTA VITORIA DO PALMAR 2,SANTA VITORIA DO PALMAR 2,mesmo,regra
