sigla,uf,barramento,pac_chave,pacs_considerados,resultado,fator_limitante,n_usinas,eng_gwh,eng_energetica_gwh,eng_confiabilidade_gwh,eng_eletrica_gwh,energia_gerada_gwh,taxa_corte,frac_rede_exportacao,top3_descricoes,coincidencia,condicao
JCT,RN,João Câmara III,JOAO CAMARA 3,JOAO CAMARA 3; JOAO CAMARA 3 ICG; SECC. LT ACU 3 – JOAO CAMARA 3; SECC. LT JOAO CAMARA 3 – MONTE VERDE,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,17,5201.7528,2392.0211,2703.5483,106.1834,10774.6898,0.3256,0.2101,Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV AÇU III / (1157 GWh) | Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NAS LTS 500 KV AÇU III (538 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (341 GWh),True,B: descrições nomeiam elemento local do corredor (LT 500 kV Açu III / Jaguaruana II; LT 500 kV Açu III / Milagres II; LT 500 kV Jaguaruana II / Acu III C V7 CE/RN (05V7);)
GDO,BA,Gentio do Ouro II,GENTIO DO OURO 2,GENTIO DO OURO 2; SECC. LT BOM JESUS DA LAPA 2 – GENTIO DO OURO 2,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,5,3454.0585,1884.7972,619.2723,949.9891,14232.4993,0.1953,0.9561,Controle do fluxo: FNESE # Fluxo Nordeste/Sudeste (397 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (226 GWh) | Controle do fluxo: ON_OC_BP_XINGU<6_GW_FJUSC_FNESE # Redução do Limite (34 GWh),True,A: INAB e ENG de rede majoritaria em intercâmbio/corredor de exportação
OUR,BA,Ourolândia II,OUROLANDIA 2,OUROLANDIA 2,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,11,2624.7695,1707.3823,566.5257,350.8615,16847.1778,0.1348,0.6961,Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (187 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV IRECÊ / M (86 GWh) | Controle do fluxo: FNESE # Fluxo Nordeste/Sudeste (35 GWh),True,A: INAB e ENG de rede majoritaria em intercâmbio/corredor de exportação / B: descrições nomeiam elemento local do corredor (LT 's 230kV Campo Largo/Ourolândia II 04P1 e 04P2; LT LT 500 kV 05N4 Ourolândia II / Morro do Chapéu II)
CID,RN,Ceará Mirim II,CEARA MIRIM 2,CEARA MIRIM 2,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,2,1932.0792,927.41,988.2385,16.4307,6232.272,0.2366,0.247,Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV AÇU III / (536 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (138 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV ITABIRA 4 (15 GWh),True,B: descrições nomeiam elemento local do corredor (LT 500 kV Campina Grande III / Ceará Mirim II; LT 500 kV Ceará Mirim II / Rio do Vento; fluxo entre as SEs Campina Grand)
SLD,PB,Santa Luzia,SANTA LUZIA 2,SANTA LUZIA 2,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,8,1372.9058,1097.4221,212.8744,62.6093,10865.1124,0.1122,0.9537,Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (114 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV ITABIRA 4 (13 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (12 GWh),True,A: INAB e ENG de rede majoritaria em intercâmbio/corredor de exportação
CNP,PI,Curral Novo do Piauí II,CURRAL NOVO DO PIAUI 2,CURRAL NOVO DO PIAUI 2,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,9,1331.7774,1004.2773,225.1493,102.3508,11114.9416,0.107,0.7352,Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (111 GWh) | Controle de inequação (46 GWh) | Controle do fluxo: FNS_FNESE # Somatório de FNS+FNESE (23 GWh),True,"A: INAB e ENG de rede majoritaria em intercâmbio/corredor de exportação / B: descrições nomeiam elemento local do corredor (Controle dos fluxos de potência ativa nos TR1, 2, 3 e 4 de 500/230 kV da SE Curral Novo do Piauí II; Sub Curral Novo do )"
SJI,PI,São João do Piauí,SAO JOAO DO PIAUI,SAO JOAO DO PIAUI,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,6,1321.5076,955.3709,255.9743,110.1625,7708.8046,0.1463,0.9743,Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (98 GWh) | Controle do fluxo: FNS_FNESE # Somatório de FNS+FNESE (24 GWh) | Controle do fluxo: FNEN # Fluxo Nordeste/Norte (18 GWh),True,A: INAB e ENG de rede majoritaria em intercâmbio/corredor de exportação / B: descrições nomeiam elemento local do corredor (Transformação 500/230 kV da SE São João do Piauí)
TRS,RN,Touros,TOUROS,TOUROS; TOUROS ICG,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,4,1197.9405,658.1577,526.7248,13.058,2593.3334,0.316,0.3342,Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV AÇU III / (241 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (94 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (13 GWh),True,B: descrições nomeiam elemento local do corredor (SE Touros. (60.894-25 em execução no momento); TR 230 / 69 kV Touros T1 RN (04T1) da SE Touros 69kV)
QND,PI,Queimada Nova II,QUEIMADA NOVA 2,QUEIMADA NOVA; QUEIMADA NOVA 2,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,2,1120.1152,830.951,273.2391,15.925,7732.5213,0.1265,0.8615,Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (134 GWh) | Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO DA LT 500 KV BARREIRAS (30 GWh) | Controle do fluxo: FNS_FNESE # Somatório de FNS+FNESE (25 GWh),True,A: INAB e ENG de rede majoritaria em intercâmbio/corredor de exportação
SDS,BA,Sol do Sertão,SOL DO SERTAO,SOL DO SERTAO,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,1,799.3218,365.1004,155.8964,278.325,2091.7493,0.2765,0.9607,Controle do fluxo: FNESE # Fluxo Nordeste/Sudeste (100 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (46 GWh) | Controle do fluxo: FNS_FNESE # Somatório de FNS+FNESE (19 GWh),True,A: INAB e ENG de rede majoritaria em intercâmbio/corredor de exportação
ACD,RN,Açu II,ACU 2,ACU 2,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,5,666.8599,329.5259,320.7475,16.5865,1244.8113,0.3488,0.2972,Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NAS LTS 500 KV AÇU III (101 GWh) | Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV AÇU III / (50 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (49 GWh),False,
SPA2,RS,Santa Vitória do Palmar 2,SANTA VITORIA DO PALMAR 2,SANTA VITORIA DO PALMAR 2,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,1,298.304,123.5986,0.0249,174.6805,2402.4622,0.1105,0.0001,Desligamento das LT 525 kV Povo Novo / Marmeleiro C2 (175 GWh) | Desligamento da LT 525 kV Povo Novo / Marmeleiro 2 C2 (0 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO NA TRANSFORMAÇÃO 500/3 (0 GWh),False,
BDD,BA,Brumado II,BRUMADO 2,BRUMADO 2,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou ,1,136.9755,68.2707,27.624,41.0807,444.1904,0.2357,0.9826,Controle do fluxo: FNESE # Fluxo Nordeste/Sudeste (14 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (11 GWh) | Controle do fluxo: FPOTPPA # LT 500kV Poções III/Padre Paraíso (2 GWh),True,A: INAB e ENG de rede majoritaria em intercâmbio/corredor de exportação
MCL2_IRAE,MG,Montes Claros 2 - Irapé C1,MONTES CLAROS 2,MONTES CLAROS 2; SECC. LD JANAUBA 3 – MONTES CLAROS 2,INAB,Colapso de tensão após contingências simples na rede de 500 kV da malha Goiás Minas Gerais,1,87.8403,62.9029,16.1794,8.758,263.3695,0.2501,0.668,Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITI (4 GWh) | Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITI (2 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/3 (1 GWh),False,
GET,SP,Getulina,GETULINA,GETULINA,ADVC,Não foram encontradas violações na região em análise para o valor cadastrado. Configuração,1,86.3152,84.9408,0.0087,1.3658,354.5067,0.1958,0.0891,Controle de inequação: Perda da LT 345 kV Campos / Rio Novo do Sul C1 (0 GWh) | Controle do fluxo: FPOTPPA # LT 500kV Poções III/Padre Paraíso (0 GWh) | Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 138 KV JALES / B (0 GWh),False,
