uf,eng_gwh,eng_ene_gwh,eng_cnf_gwh,eng_rel_gwh,energia_gerada_gwh,taxa_total,taxa_ene,taxa_rede,taxa_cnf,taxa_rel,share_rede,cadastrado_mw,inab_mw,frac_inab
RN,19223.917,9472.951,9304.3286,446.6374,57509.4014,0.2505,0.1235,0.1271,0.1213,0.0058,0.5072,953.65,798.25,0.837
BA,17203.6295,9996.6427,3337.3783,3869.6085,74083.546,0.1885,0.1095,0.0789,0.0366,0.0424,0.4189,6051.7,4684.4,0.7741
MG,7894.5234,5548.0403,1457.7703,888.7128,22601.5654,0.2589,0.1819,0.0769,0.0478,0.0291,0.2972,1668.6,554.2,0.3321
PI,5922.826,4329.4387,1138.0891,455.2982,34344.9309,0.1471,0.1075,0.0396,0.0283,0.0113,0.269,1488.4,1488.4,1.0
CE,4857.8814,3299.1196,1196.6747,362.087,14729.7655,0.248,0.1684,0.0796,0.0611,0.0185,0.3209,,,
PE,1823.0013,1265.9032,450.6312,106.467,7937.2901,0.1868,0.1297,0.0571,0.0462,0.0109,0.3056,594.3,473.6,0.7969
PB,1137.5976,884.3053,196.3688,56.9235,7087.8681,0.1383,0.1075,0.0308,0.0239,0.0069,0.2227,848.5,848.5,1.0
SP,756.9893,734.7844,0.8111,21.3938,3256.0884,0.1886,0.1831,0.0055,0.0002,0.0053,0.0293,2250.0,,0.0
RS,732.7962,478.86,0.1194,253.8168,8671.5228,0.0779,0.0509,0.027,0.0,0.027,0.3465,1658.8,,0.0
MA,315.9286,292.0716,13.2419,10.6151,2798.7593,0.1014,0.0938,0.0077,0.0043,0.0034,0.0755,,,
GO,100.2539,99.8249,0.0,0.429,356.7887,0.2194,0.2184,0.0009,0.0,0.0009,0.0043,140.0,140.0,1.0
SC,58.3549,58.3459,0.009,0.0,847.8542,0.0644,0.0644,0.0,0.0,0.0,0.0002,,,
MS,0.0063,0.0063,0.0,0.0,36.2874,0.0002,0.0002,0.0,0.0,0.0,0.0,68.0,,0.0
