uf,eng_energetica_gwh,eng_confiabilidade_gwh,eng_eletrica_gwh,eng_parecer_de_acesso_gwh,eng_gwh,energia_gerada_gwh,taxa_corte,ad_mw,advc_mw,pc_mw,inab_mw,cadastrado_mw,frac_inab
RN,9472.951,9304.3286,446.6374,0.0,19223.917,57509.4014,0.2505,155.4,,,798.25,953.65,0.837
BA,9996.6427,3337.3783,3869.6085,0.0,17203.6295,74083.546,0.1885,1367.3,,,4684.4,6051.7,0.7741
MG,5548.0403,1457.7703,888.7128,0.0,7894.5234,22601.5654,0.2589,1114.4,,,554.2,1668.6,0.3321
PI,4329.4387,1138.0891,455.2982,0.0,5922.826,34344.9309,0.1471,,,,1488.4,1488.4,1.0
CE,3299.1196,1196.6747,362.087,0.0,4857.8814,14729.7655,0.248,,,,,,
PE,1265.9032,450.6312,106.467,0.0,1823.0013,7937.2901,0.1868,120.7,,,473.6,594.3,0.7969
PB,884.3053,196.3688,56.9235,0.0,1137.5976,7087.8681,0.1383,,,,848.5,848.5,1.0
SP,734.7844,0.8111,21.3938,0.0,756.9893,3256.0884,0.1886,,300.0,1950.0,,2250.0,0.0
RS,478.86,0.1194,253.8168,0.0,732.7962,8671.5228,0.0779,666.0,,992.8,,1658.8,0.0
MA,292.0716,13.2419,10.6151,0.0,315.9286,2798.7593,0.1014,,,,,,
GO,99.8249,0.0,0.429,0.0,100.2539,356.7887,0.2194,,,,140.0,140.0,1.0
SC,58.3459,0.009,0.0,0.0,58.3549,847.8542,0.0644,,,,,,
MS,0.0063,0.0,0.0,0.0,0.0063,36.2874,0.0002,68.0,,,,68.0,0.0
PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36.0,,,36.0,0.0
PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2378.0,,,,2378.0,0.0
RJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.2,,,,517.2,0.0
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,,,300.0,1300.0,0.2308
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.5,,,,364.5,0.0
