descricao,tipo,elemento,tensao_kv,classe,categorias,origens,subsistemas,categoria_principal,origem_principal,eng_gwh,usinas,meses,registros
Controle de frequência do SIN,Controle de frequência,SIN,,frequencia,confiabilidade/eletrica/energetica,sistemica,N/NE/S/SE,energetica,sistemica,26342.785,242,12,994330
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE RIO NOVO DO SUL COM GVA6/MTUM/RNS RADIALIZADA - IO-ON.SE.5RJ,Controle de inequação,Transformação 500/345 kV da SE Rio Novo do Sul,500.0,local,confiabilidade/eletrica/energetica,local/sistemica,NE/SE,confiabilidade,sistemica,3701.6231,209,6,150126
Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV AÇU III / JAGUARUANA II – C1(V7) - IO-ON.NE.5NE,Limitação da transmissão,LT 500 kV Açu III / Jaguaruana II,500.0,local,confiabilidade,local,NE,confiabilidade,local,3331.0332,55,11,116678
Controle do fluxo: FNESE # Fluxo Nordeste/Sudeste,Controle do fluxo,FNESE,,exportacao,confiabilidade/eletrica/energetica,sistemica,NE/SE,eletrica,sistemica,1522.3569,203,12,39613
"Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NAS LTS 500 KV AÇU III / QUIXADÁ – C1(V2), AÇU III / MILAGRES II – C1(C2) E AÇU III / JAGUARUANA II – C1(V7) - IO-ON.NE.5NE",Limitação da transmissão,LTS 500 kV Açu III / Quixadá,500.0,local,confiabilidade/eletrica,local/sistemica,NE,confiabilidade,local,1481.7866,88,12,92332
Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NA LT 500 KV JAGUARUANA II / PACATUBA – C1(L1) - IO-ON.NE.5NE,Limitação da transmissão,LT 500 kV Jaguaruana II / Pacatuba,500.0,local,confiabilidade,local,NE,confiabilidade,local,498.7697,70,9,24180
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV ITABIRA 4 / ITABIRA 5 PARA CONTINGÊNCIA DUPLA DAS LT 500 KV ITABIRA 5 / VESPASIANO 2 E LT 500 KV ITABIRA 5 / NEVES 1 - IO-ON.SE.3MG,Controle de inequação,LT 230 kV Itabira 4 / Itabira 5,230.0,local,confiabilidade,local/sistemica,N/NE/SE,confiabilidade,sistemica,482.5379,202,2,12715
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE RIO NOVO DO SUL COM GVA6/MTUM/RNS NÃO RADIALIZADA - IO-ON.SE.5RJ,Controle de inequação,Transformação 500/345 kV da SE Rio Novo do Sul,500.0,local,confiabilidade,local/sistemica,NE/SE,confiabilidade,sistemica,475.3834,202,1,17361
Controle do fluxo: FNS_FNESE # Somatório de FNS+FNESE,Controle do fluxo,FNS+FNESE,,exportacao,confiabilidade/eletrica/energetica,sistemica,N/NE,confiabilidade,sistemica,418.0785,195,8,16484
Desligamento das LT 525 kV Povo Novo / Marmeleiro C2,outro,LT 525 kV Povo Novo / Marmeleiro C2,525.0,outro,eletrica,local,S,eletrica,local,253.6365,2,1,2428
Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITIDA PELOS BIPOLOS XINGU / ESTREITO E XINGU / TERMINAL RIO - IO-ON.SENE,Controle de inequação,Bipolos Xingu / Estreito e Xingu / Terminal Rio,,local,confiabilidade,sistemica,SE,confiabilidade,sistemica,193.6888,17,8,4080
Controle de inequação: LIMITE DE FJUSC EM FUNÇÃO DA POTÊNCIA TRANSMITIDA PELOS BIPOLOS XINGU / ESTREITO E XINGU / TERMINAL RIO,Controle de inequação,Bipolos Xingu / Estreito e Xingu / Terminal Rio,,local,eletrica,sistemica,SE,eletrica,sistemica,176.0907,16,9,2647
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV ITABIRA 4 / ITABIRA 5 PARA CONTINGÊNCIA DUPLA DAS LT 500 KV ITABIRA 5 / VESPASIANO 2 E LT 500 KV ITABIRA 5 / NEVES 1 - IO-ON.SE.5MG,Controle de inequação,LT 230 kV Itabira 4 / Itabira 5,230.0,local,confiabilidade,local/sistemica,N/NE/SE,confiabilidade,sistemica,162.7928,203,2,3812
Controle do fluxo: FNEN # Fluxo Nordeste/Norte,Controle do fluxo,FNEN,,exportacao,confiabilidade/eletrica,sistemica,NE,eletrica,sistemica,143.0281,125,7,3759
Controle de inequação: Perda da LT 345 kV Campos / Rio Novo do Sul C1,Controle de inequação,LT 345 kV Campos / Rio Novo do Sul C1,345.0,local,eletrica,local/sistemica,NE/SE,eletrica,sistemica,136.9444,212,2,7657
Controle de inequação,Controle de inequação,,,outro,eletrica,local/sistemica,N/NE/SE,eletrica,local,129.1246,121,8,4533
Controle do fluxo: ON_OC_BP_XINGU<6_GW_FJUSC_FNESE # Redução do Limite FNESE em função do FJUSC para Bipolo Xingu < 6000 MW (ON) e > 1000 MW (OC 1,Controle do fluxo,FNESE,,exportacao,eletrica,sistemica,NE,eletrica,sistemica,118.275,55,5,1802
"Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV IRECÊ / MORRO DO CHAPÉU II – C1(S5), PREVENINDO A PERDA DA LT 500 KV MORRO DO CHAPÉU II / OUROLÂNDIA II – C1(N4) - IO-ON.NE.2SO",Controle de inequação,LT 230 kV Irecê / Morro do Chapéu II,230.0,local,confiabilidade,local,NE,confiabilidade,local,117.8969,25,10,2734
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV BOM NOME / MILAGRES – C1(L1) PREVENINDO A PERDA DA LT 230 KV ABAIARA / MILAGRES – C1(L2) - IO-ON.NE.2NO,Controle de inequação,LT 230 kV Bom Nome / Milagres,230.0,local,confiabilidade,local,NE,confiabilidade,local,110.385,6,7,4703
Controle de inequação: LIMITAÇÃO DO FLUXO BAHIA SUDOESTE - IO-ON.NE.2SO,Limitação da transmissão,Fluxo Bahia Sudoeste,,local,confiabilidade,local,NE,confiabilidade,local,103.8965,19,3,6914
Controle do fluxo: FPOTPPA # LT 500kV Poções III/Padre Paraíso,Controle do fluxo,LT 500kV Poções III/Padre Paraíso,500.0,local,eletrica,sistemica,NE/SE,eletrica,sistemica,101.5449,106,3,1739
"Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO NAS LTS 500 KV AÇU III / QUIXADÁ – C1(V2), AÇU III / MILAGRES II – C1(C2) E AÇU III / JAGUARUANA II – C1(V7)",Limitação da transmissão,LTS 500 kV Açu III / Quixadá,500.0,local,eletrica,local,NE,eletrica,local,81.3842,41,7,3547
Controle de carregamento do TR 345/ 138 kV da SE Campos 2,Controle de inequação,TR 345/ 138 kV da SE Campos 2,345.0,local,eletrica,local/sistemica,NE/SE,eletrica,local,79.6955,205,1,6290
Controle de inequação: CONTROLE DE CARREGAMENTO DA TRANSFORMAÇÃO 500/345 KV DA SE RIO NOVO DO SUL COM GVA6/MTUM/RNS - IO-ON.SE.5RJ,Controle de inequação,Transformação 500/345 kV da SE Rio Novo do Sul,500.0,local,confiabilidade,sistemica,NE,confiabilidade,sistemica,57.7814,185,1,3556
Controle de inequação: LIMITAÇÃO DA TRANSMISSÃO DA LT 500 KV CAMPINA GRANDE III / CEARÁ MIRIM II – C1(L2) OU C2(L3) - IO-ON.NE.5NE,Limitação da transmissão,LT 500 kV Campina Grande III / Ceará Mirim II,500.0,local,confiabilidade,local,NE,confiabilidade,local,51.2561,32,5,2677
Controle de inequação: LIMITAÇÃO DO FLUXO BAHIA SUDOESTE,Limitação da transmissão,Fluxo Bahia Sudoeste,,local,eletrica,local,NE,eletrica,local,41.1359,26,4,1748
"Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV BOM NOME / MILAGRES – C1(L1), PREVENINDO A PERDA DA LT 230 KV MAURITI II / MILAGRES – C1(L3) - IO-ON.NE.2NO",Controle de inequação,LT 230 kV Bom Nome / Milagres,230.0,local,confiabilidade,local,NE,confiabilidade,local,35.8202,6,3,2352
