fonte,subsistema,estado,eng_mwh,energia_gerada_mwh,taxa_corte
EOL,NE,RN,24475199.2,109783308.7,0.2
EOL,NE,BA,16671054.3,130700445.3,0.1
UFV,SE,MG,8704172.3,30566689.2,0.2
EOL,NE,CE,4911280.4,23054373.0,0.2
EOL,NE,PI,4486620.5,57803000.8,0.1
UFV,NE,BA,3933788.4,10437843.9,0.3
UFV,NE,PI,2601637.1,8818062.8,0.2
UFV,NE,RN,1999095.1,8136166.3,0.2
UFV,NE,CE,1880052.8,6976296.8,0.2
UFV,NE,PE,1385737.6,4610797.7,0.2
EOL,NE,PB,870020.0,11424722.7,0.1
EOL,NE,PE,858322.4,10592968.9,0.1
UFV,SE,SP,849505.8,4538727.2,0.2
EOL,S,RS,841637.5,19364483.9,0.0
UFV,NE,PB,434633.8,2648757.1,0.1
EOL,N,MA,368227.2,6428142.6,0.1
UFV,SE,GO,100253.9,356788.7,0.2
EOL,S,SC,75555.1,1972769.9,0.0
EOL,SE,BA,66742.9,1211764.0,0.1
UFV,S,MS,6.3,36287.4,0.0
