id_ons,nom_usina,uf,fonte,vigencia,pac_nome,pac_tensao_kv,fracao_potencia,n_usinas,n_usinas_sem_pac,pot_mw,metodo,confianca,grafias,eng_gwh_2025
CJU_MAPLN,CONJ. PAULINO NEVES,MA,EOL,ativo,MIRANDA 2,500.0,1.0,15,0,426.0,ons_cadastro,alta,"SE 500 kV Miranda II | SE 500 kV Miranda II  | SE MIRANDA II 500,0 kV",315.929
CJU_BAABL,CONJ. ABIL I,BA,EOL,encerrado em 2024-10-29,PINDAI 2,230.0,1.0,5,0,90.0,ons_cadastro,alta,"SE PINDAI II 230,0 kV",0.0
CJU_BAABD,CONJ. ABIL II,BA,EOL,encerrado em 2024-10-29,IGAPORA 3,500.0,1.0,3,0,46.5,ons_cadastro,alta,"SE IGAPORA III 500,0 kV",0.0
CJU_BAALV,CONJ. ALVORADA,BA,EOL,encerrado em 2022-05-31,,,,2,2,0.0,nao_casado,,,0.0
CJU_BAARA,CONJ. ARAÇÁS,BA,EOL,ativo,IGAPORA 2 ICG,230.0,1.0,6,0,155.2,ons_cadastro,alta,SE 230 kV Igaporã II - ICG ,343.328
CJU_BAARI,CONJ. ARIZONA,BA,EOL,ativo,SOBRADINHO,500.0,1.0,7,1,214.82999999999998,ons_cadastro,alta,"SE SOBRADINHO 500,0 kV",197.88
CJU_BABAB,CONJ. BABILÔNIA,BA,EOL,ativo,MORRO DO CHAPEU 2,230.0,1.0,5,0,136.5,ons_cadastro,alta,SE 230 kV Morro do Chapéu II ,164.749
CJU_BABBS,CONJ. BABILÔNIA SUL,BA,EOL,ativo,OUROLANDIA 2,230.0,1.0,5,1,288.0,ons_cadastro,alta,SE Ourolândia II 230 kV,304.853
CJU_BABMC,CONJ. BROTAS DE MACAÚBAS,BA,EOL,ativo,BROTAS DE MACAUBAS,230.0,1.0,5,0,180.19,ons_cadastro,alta,"SE 230 kV Brotas de Macaúbas  | SE BROTAS DE MACAUBAS 230,0 kV",233.582
CJU_BABW1,CONJ. BW GUIRAPÁ I,BA,EOL,ativo,PINDAI ICG,69.0,1.0,4,0,88.6,ons_cadastro,alta,SE 69 kV Pindaí - ICG ,123.888
CJU_BABW2,CONJ. BW GUIRAPÁ II,BA,EOL,ativo,PINDAI ICG,69.0,1.0,3,0,59.2,ons_cadastro,alta,SE 69 kV Pindaí - ICG ,111.944
CJU_BACTE,CONJ. CAETITÉ,BA,EOL,ativo,PINDAI 2 ICG,69.0,1.0,3,2,30.2,ons_cadastro,alta,SE 69 kV Pindaí II - ICG,141.55
CJU_BACAE,CONJ. CAETITÉ 123,BA,EOL,ativo,,,,3,3,0.0,nao_casado,,,156.769
CJU_BACTA,CONJ. CAETITÉ A,BA,EOL,ativo,IGAPORA 2 ICG,230.0,1.0,3,0,54.400000000000006,ons_cadastro,alta,SE 230 kV Igaporã II - ICG | SE 230 kV Igaporã II - ICG ,103.888
CJU_BACFO,CONJ. CAMPO FORMOSO,BA,EOL,ativo,CAMPO FORMOSO,230.0,1.0,6,0,180.0,ons_cadastro,alta,"SE CAMPO FORMOSO 230,0 kV",199.75
CJU_BACLA,CONJ. CAMPO LARGO,BA,EOL,encerrado em 2025-03-25,OUROLANDIA 2,230.0,1.0,11,0,326.7,ons_cadastro,alta,"SE OUROLANDIA II 230,0 kV",58.782
CJU_BACLA2,CONJ. CAMPO LARGO 2,BA,EOL,encerrado em 2025-03-25,OUROLANDIA 2,230.0,1.0,11,0,361.2,ons_cadastro,alta,"SE OUROLANDIA II 230,0 kV",69.983
CJU_BACND,CONJ. CASA NOVA,BA,EOL,ativo,SOBRADINHO,230.0,1.0,4,0,115.1,ons_cadastro,alta,"SE SOBRADINHO 230,0 kV",40.547
CJU_BACRI,CONJ. CRISTAL,BA,EOL,ativo,MORRO DO CHAPEU ICG,69.0,1.0,3,0,89.69999999999999,ons_cadastro,alta,SE 69 kV Morro do Chapéu - ICG ,116.809
CJU_BACRL,CONJ. CRISTALÂNDIA,BA,EOL,ativo,BRUMADO 2,230.0,1.0,3,0,90.0,ons_cadastro,alta,"SE BRUMADO II 230,0 kV",136.975
CJU_BACVN,CONJ. CURVA DOS VENTOS,BA,EOL,ativo,IGAPORA 2,69.0,0.5,2,0,28.2,rateio_potencia,media,SE 69 kV Igaporã II,39.684
CJU_BACVN,CONJ. CURVA DOS VENTOS,BA,EOL,ativo,IGAPORA 2 ICG,69.0,0.5,2,0,28.2,rateio_potencia,media,SE 69 kV Igaporã II - ICG ,39.684
CJU_BADFN,CONJ. DELFINA,BA,EOL,ativo,JUAZEIRO 2,230.0,1.0,8,0,210.0,ons_cadastro,alta,SE 230 kV Juazeiro da Bahia II ,185.744
CJU_BAFDS,CONJ. FOLHA DE SERRA,BA,EOL,encerrado em 2024-10-29,PINDAI 2,230.0,1.0,2,0,42.0,ons_cadastro,alta,"SE PINDAI II 230,0 kV",0.0
CJU_BAFLA,CONJ. FOLHA LARGA,BA,EOL,ativo,SENHOR DO BONFIM 2,230.0,1.0,9,0,344.4,ons_cadastro,alta,"SE 230 kV Senhor do Bonfim II | SE SENHOR DO BONFIM II 230,0 kV",310.923
CJU_BAFLS,CONJ. FOLHA LARGA SUL,BA,EOL,ativo,SENHOR DO BONFIM 2,230.0,1.0,3,0,151.2,ons_cadastro,alta,"SE SENHOR DO BONFIM II 230,0 kV",161.183
CJU_BAGOI,CONJ. GENTIO DO OURO I,BA,EOL,ativo,IRECE,230.0,1.0,13,0,303.0,ons_cadastro,alta,"SE 230 kV Irecê | SE 230 kV Irecê  | SE IRECE 230,0 kV",296.019
CJU_BAGPX,CONJ. GPEXPAN,BA,EOL,ativo,PINDAI 2,230.0,1.0,15,0,189.85,ons_cadastro,alta,"SE 230 kV Pindaí II | SE PINDAI II 230,0 kV",198.591
CJU_BAGRP,CONJ. GUIRAPÁ,BA,EOL,encerrado em 2022-05-31,,,,2,2,0.0,nao_casado,,,0.0
