uf,barramento,sigla,tensao_kv,must_2027,must_2028,must_2029,must_2030,must_2031,cap_rem_2031_barramento,cap_rem_2031_subarea,cap_rem_2031_area,resultado,fator_limitante,elementos_citados,lrcap,produto_ref
GO,Bandeirantes,STBD,230,140.0,140.0,140.0,140.0,140.0,0.0,0.0,0.0,INAB,Sobrecarga na LT 230 kV C. Dourada - Itumbiara em regime normal de operação.,LT 230 kV C. Dourada - Itumbiara,False,2031
MG,Montes Claros 2 - Irapé C1,MCL2_IRAE,345,0.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,INAB,Colapso de tensão após contingências simples na rede de 500 kV da malha Goiás Minas Gerais São Paulo seguidas por falhas de comutação em elos HVDC.,rede 500 kV Goiás Minas Gerais São Paulo,False,2031
MG,Serra das Almas II,SDA2,500,0.0,0.0,0.0,254.2,254.2,0.0,0.0,0.0,INAB,Colapso de tensão após contingências simples na rede de 500 kV da malha Goiás Minas Gerais São Paulo seguidas por falhas de comutação em elos HVDC.,rede 500 kV Goiás Minas Gerais São Paulo,False,2031
RJ,Lagos,LGO,500,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,AD,Não foram encontradas violações na região em análise para o valor cadastrado.,,False,2031
SP,Getulina,GET,440,0.0,0.0,0.0,300.0,300.0,300.0,300.0,300.0,ADVC,Não foram encontradas violações na região em análise para o valor cadastrado. Configuração G descrita na,,False,2031
BA,Ourolândia II,OUR,500,0.0,0.0,0.0,297.6,875.1,0.0,0.0,0.0,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou de fluxo previamente definidos.,limites de intercâmbio/fluxo (exportação do Nordeste),False,2031
BA,Correntina,CRT,500,0.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou de fluxo previamente definidos.,limites de intercâmbio/fluxo (exportação do Nordeste),False,2031
BA,Sol do Sertão,SDS,500,0.0,0.0,586.9,586.9,586.9,0.0,0.0,0.0,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou de fluxo previamente definidos.,limites de intercâmbio/fluxo (exportação do Nordeste),False,2031
BA,Gentio do Ouro II,GDO,500,0.0,0.0,376.8,376.8,784.8,0.0,0.0,0.0,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou de fluxo previamente definidos.,limites de intercâmbio/fluxo (exportação do Nordeste),False,2031
BA,Campo Formoso II,CAF-II,500,0.0,0.0,824.4,824.4,824.4,0.0,0.0,0.0,INAB,Incapacidade de acréscimo de nova geração devido a violação dos limites de intercâmbio ou de fluxo previamente definidos.,limites de intercâmbio/fluxo (exportação do Nordeste),False,2031
