sigla,nome_pac,observacao
CID,Ceará Mirim 2,
JCT,João Câmara 3,
TRS,Touros,
ACD,Açu 2,
MVR,Monte Verde,
SLD,Santa Luzia 2,
ULG,Luiz Gonzaga,
CNP,Curral Novo do Piauí 2,
QND,Queimada Nova 2,
PBT,Parnaíba 3,
SJI,São João do Piauí,
OUR,Ourolândia 2,
CRT,Correntina,
SDS,Sol do Sertão,
GDO,Gentio do Ouro 2,
CAF-II,Campo Formoso 2,
BDD,Brumado 2,
ICA,Ibicoara,
ITB,Itabaiana,
STBD,Bandeirantes,
MCL2_IRAE,Montes Claros 2,secc. LT Irapé
SDA2,Serra das Almas 2,
GET,Getulina,
LGO,Lagos,
ALE2,Alegrete 2,
LIV3,Livramento 3,
SPA2,Santa Vitória do Palmar 2,
