pac_nome,pac_tensao_kv,conjuntos_usinas,usinas_cadastro,pot_mw,eng_gwh,grafias
ACU 3,500.0,10,114,4363.082,4024.576,"SE 500 kV Açu III | SE 500 kV Açu III  | SE ACU III 500,0 kV | SE Açu III 230 kV | SE Açu III 500 kV"
JOAO CAMARA 3,138.0,13,62,1586.22,3523.755,"SE JOAO CAMARA III 138,0 kV | SE JOAO CAMARA III 230,0 kV | SE JOAO CAMARA III 500,0 kV | SE JOÃO CAMARA III 230 KV | SE JOÃO CÂMARA III 230 KV | SE João Câmara III  138 kV | SE João Câmara III 138 kV"
GENTIO DO OURO 2,230.0,4,66,2333.1,2752.167,"SE 230 kV Gentio do Ouro II  | SE GENTIO DO OURO II 230 KV | SE GENTIO DO OURO II 230,0 kV | SE GENTIO DO OURO II 500 KV | SE GENTIO DO OURO II 500,0 kV | SE Gentio do Ouro II 500 kV"
OUROLANDIA 2,230.0,11,115,4108.378,2624.77,"SE OUROLANDIA II 230,0 kV | SE OUROLANDIA II 500,0 kV | SE Ourolândia II 230 kV | SE Ourolândia II 500 kV"
JANAUBA 3,500.0,2,45,2124.968,2606.135,"SE JANAUBA 3 500 KV | SE JANAUBA 3 500,0 kV"
CEARA MIRIM 2,500.0,2,16,1038.2,1932.079,"SE CEARA MIRIM 2 500,0 kV | SE Ceará Mirim II 500 kV"
MORRO DO CHAPEU 2,230.0,13,80,2610.05,1856.84,"SE 230 kV Morro do Chapéu II | SE 230 kV Morro do Chapéu II  | SE MORRO DO CHAPEU II 230,0 kV | SE MORRO DO CHAPEU II 500,0 kV | SE Morro do Chapéu II 230 kV | SE Morro do Chapéu II 500 kV"
JOAO CAMARA 2,230.0,7,36,889.9,1766.995,"SE 230 kV João Câmara II  | SE 69 kV João Câmara II  | SE JOAO CAMARA 2 230,0 kV | SE JOAO CAMARA 2 69,0 kV | SE João Câmara II  69 kV"
MONTE VERDE,500.0,4,43,974.455,1540.939,"SE MONTE VERDE 500 KV | SE MONTE VERDE 500,0 kV | SE Monte Verde 500 kV"
JAIBA,230.0,3,34,1301.306,1386.992,"SE JAIBA 230,0 kV | SE Jaíba 138kV | SE Jaíba 230 kV"
SANTA LUZIA 2,500.0,8,67,2897.904,1372.906,"SE SANTA LUZIA II 500 KV | SE SANTA LUZIA II 500,0 kV | SE Santa Luzia II 500 kV | SE Santa Luzia II 500 kv | SE Santa Luzia II 500kV"
PECEM 2,230.0,8,52,1289.69,1366.32,"SE  Pecém II 230kV | SE 230 KV PECÉM II | SE 230 kV Pecém II  | SE PECEM II 230,0 kV | SE PECÉM II 230 kv | SE Pecém II 230 kV"
CURRAL NOVO DO PIAUI 2,230.0,9,94,2805.706,1331.777,"SE CURRAL NOVO DO PIAUI II 230,0 kV | SE CURRAL NOVO DO PIAUÍ II 230 KV | SE Curral Novo do Piauí II 230 kV | SE Curral Novo do Piauí II 500 kv"
SAO JOAO DO PIAUI,230.0,6,54,1704.2,1321.508,"SE 230 kV São João do Piauí | SE 230 kV São João do Piauí  | SE SAO JOAO DO PIAUI 230,0 kV | SE SAO JOAO DO PIAUI 500,0 kV"
ARINOS 2,500.0,2,36,1697.775,1248.083,SE 500 KV ARINOS 2 | SE Arinos 2 500 kV | SE Arinos II 500 kV
IGAPORA 3,500.0,7,46,909.6,1235.094,"SE IGAPORA III 230,0 kV | SE IGAPORA III 500,0 kV"
TOUROS,230.0,4,24,525.515,999.777,"SE TOUROS 230 KV | SE TOUROS 230,0 kV | SE TOUROS 69 KV | SE Touros 230 kV"
QUEIMADA NOVA 2,500.0,2,29,1141.5,967.615,"SE QUEIMADA NOVA II 500 KV | SE QUEIMADA NOVA II 500,0 kV"
BOM NOME,230.0,3,20,862.5,956.449,"SE BOM NOME 138,0 kV | SE BOM NOME 230,0 kV | SE BOM NOME 230kV | SE Bom Nome 230 kV"
