id_ons,nom_usina,fonte,subsistema,estado,eng_mwh,energia_gerada_mwh,taxa_corte
CJU_MGJAN,CONJ. JANAÚBA,UFV,SE,MG,1862741.604,5382438.0215,0.2571
CJU_RNCAJ1,CONJ. CAJU,EOL,NE,RN,1399587.7125,5376654.105,0.2065
CJU_RNRDV,CONJ. RIO DO VENTO,EOL,NE,RN,1209706.459,7504108.244,0.1388
CJU_RNEMVD,CONJ. MONTE VERDE,EOL,NE,RN,1197685.245,6182091.8345,0.1623
CJU_MGARN,CONJ. ARINOS 2 500 KV,UFV,SE,MG,1148596.421,4784302.9885,0.1936
CJU_RNSAG,CONJ. SANTO AGOSTINHO,EOL,NE,RN,1137271.759,2858080.714,0.2846
CJU_RNRVE,CONJ. RIO DO VENTO EXPANSÃO,EOL,NE,RN,1016622.28,7030010.9535,0.1263
CJU_MGVST1,CONJ. VISTA ALEGRE - JANAÚBA,UFV,SE,MG,971256.0605,2595763.363,0.2723
CJU_PILDV,CONJ. LAGOA DOS VENTOS,EOL,NE,PI,920175.1025,10693198.5545,0.0792
CJU_BALRA,CONJ. LARANJEIRAS,EOL,NE,BA,913674.8755,7017670.9845,0.1152
CJU_RNJER,CONJ. JERUSALÉM,EOL,NE,RN,905002.6835,3254124.859,0.2176
CJU_BASAR,CONJ. EOLICO SERRA DO ASSURUA,EOL,NE,BA,898055.5185,5211417.768,0.147
CJU_BANHZ,CONJ. NOVO HORIZONTE,EOL,NE,BA,883225.331,3243371.6995,0.214
CJU_BASSD,CONJ. SOL DO SERTÃO,UFV,NE,BA,878111.664,1667992.956,0.3449
CJU_PI4ECNP,CONJUNTO EÓLICO CURRAL NOVO DO PIAUI II 230KV,EOL,NE,PI,804044.639,7094505.5705,0.1018
