mes,eng_mwh,energia_gerada_mwh,pct_repo,pct_ons,dif_pp
2023-01,15254.56,6167370.78,0.25,0.3,-0.05
2023-02,8502.56,6447477.9,0.13,0.2,-0.07
2023-03,35958.7,6027380.14,0.59,1.0,-0.41
2023-04,24912.78,4811016.82,0.52,0.6,-0.08
2023-05,34870.02,6836403.66,0.51,0.5,0.01
2023-06,212007.37,8500603.36,2.43,2.6,-0.17
2023-07,166114.25,9815791.02,1.66,1.8,-0.14
2023-08,350460.97,8897081.94,3.79,4.2,-0.41
2023-09,1275166.9,8953052.03,12.47,12.6,-0.13
2023-10,474469.14,9396638.8,4.81,5.6,-0.79
2023-11,312388.11,7727282.74,3.89,4.2,-0.31
2023-12,239533.75,7892648.96,2.95,3.4,-0.45
2024-01,34024.73,5241470.61,0.64,0.6,0.04
2024-02,167904.13,6021299.26,2.71,3.1,-0.39
2024-03,108052.99,5113080.22,2.07,2.1,-0.03
2024-04,154672.17,7936527.82,1.91,1.9,0.01
2024-05,559807.47,10765940.58,4.94,5.0,-0.06
2024-06,1029753.71,11343742.41,8.32,8.6,-0.28
2024-07,1589477.51,12670092.5,11.15,11.8,-0.65
2024-08,2206203.61,13801597.7,13.78,14.3,-0.52
2024-09,2636360.54,13716677.07,16.12,16.5,-0.38
2024-10,1400573.98,13057033.37,9.69,9.9,-0.21
2024-11,1166822.77,12264719.16,8.69,8.8,-0.11
2024-12,1282544.27,11795799.87,9.81,9.8,0.01
2025-01,776403.31,8331990.33,8.52,10.1,-1.58
2025-02,2699273.44,9635573.26,21.88,25.8,-3.92
2025-03,1564510.57,11090650.07,12.36,12.6,-0.24
2025-04,1129135.98,9923556.78,10.22,10.3,-0.08
2025-05,2570209.12,12647227.15,16.89,17.2,-0.31
2025-06,2494842.22,12618277.81,16.51,16.8,-0.29
2025-07,3385894.69,13220252.3,20.39,20.4,-0.01
2025-08,4518090.07,13671458.78,24.84,24.7,0.14
2025-09,5070819.81,14405660.83,26.04,26.0,0.04
