mes,pct_ons,fonte_documento
2021-10,0.1,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2021-11,0.1,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2021-12,0.2,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2022-01,0.5,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2022-02,0.5,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2022-03,0.7,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2022-04,1.3,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2022-05,0.3,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2022-06,0.0,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2022-07,1.0,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2022-08,0.6,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2022-09,0.2,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
2022-10,0.3,"ONS, apresentacao ""Curtailment: causas, reflexos e solucoes"" (XXXI Simposio Juridico ABCE, out/2025), grafico ""Geracao Nao Realizada (Apurada) Eolica e Fotovoltaica (% do potencial de geracao)""; serie 2023 identica a Fig. 4-3 do RT DGL-ONS 0189/2025"
